Title,Review,Town,Region,Type,Polarity
¡Es una canción!,"El lugar es increíble (como todo Tulúm), pero la experiencia en el interior del hotel es la peor. En primer lugar, reservaba por reserva con una tarifa y el flete final era de 763 pesos más, pago 8.763 pesos por dos noches para una habitación de 2x2 y estoy exagerando.",Tulum,QuintanaRoo,Hotel,1
No hay recomendaciones,"La comida es bastante mala y tiene poca higiene personal, tampoco recomiendo servirla demasiado tarde, pero no tiene aparcamiento.",San_Cristobal_de_las_Casas,Chiapas,Restaurant,1
"La comida es un asco, nos hemos ido.","La comida es una deshonra, nos fuimos hoy el 27 de septiembre y la comida era horrible. El servicio es súper malo, no sé qué era peor de las dos cosas. El pozol seco, el atolón frío, un jugo que nos fue dado con basura en el interior, todo frío. Super...Más",Cholula,Puebla,Restaurant,1
"Cuando los COBRAS están a la baja, la comida debe ser fresca.","Cenamos ayer, la decoración del lugar es hermosa y el ambiente agradable Estábamos 6 personas entrando a la izquierda del local Conocimos a una chica con gafas súper agradables (me gustaría recordar su nombre porque...Más",Tlaquepaque,Jalisco,Restaurant,1
La cena de Navidad,"Había mucho que desear el servicio, las entradas muy mal combinadas, el mal gusto, un plato muy deficiente, que ofrecían un corte de carne en su menú y servían bandas de carne dura, postres austeros, de mala calidad, altos precios, calidad alimentaria y servicio deficiente... y de baja.",San_Cristobal_de_las_Casas,Chiapas,Restaurant,1
Hay caucasianos en la habitación y nadie responde.,"Llegué hoy, el 14 de marzo, y pagué tres noches para reservar. Por la noche a las 8:00 horas, acostada en la cama con mi hijo de 7 meses en la cama, ¡una cafetería se subió a la cama!!! Llamé inmediatamente a la recepción y un caballero subió para tomarla y me dijo: ""es normal, es una cafetería de campaña."" El comentario que me parecía idéntico al lugar donde hay una cafetería es una falta de higiene! La hermana Paola (que se presentó como la responsable y que finalmente resultó ser la única recepcionista) me propuso un cambio de habitación.",Tepoztlan,Morelos,Hotel,1
Grandería personal engordada personal,"Este es un lugar que estoy acostumbrado a visitar cada vez que voy a todos Santos, pero esta vez lo remodelan.El problema era que la persona que nos informó de esto en la recepción era bastante grosera y grosera.Con tantas ofertas en T.S. la próxima vez...pensaré dos veces antes de volver.Más",TodosSantos,Baja_CaliforniaSur,Restaurant,1
Malicia y servicios de mala calidad.,"No había agua caliente, aunque la recepción tomó más de 40 minutos para responder y con mucho descontento, e incluso si una reserva se había hecho en una habitación más cara y nos asignaron una habitación más pequeña porque ya no estaban disponibles.",Taxco,Guerrero,Hotel,1
Mal servicio,"Nos negaron el acceso, éramos un grupo de seis adultos y cuatro niños, los niños comían un helado y nos pedían que nos sacaramos del lugar. Explicaron en la mesa que todos consumíamos cafés y postres y nos dijeron que los adultos podían pasar... pero los niños no tenían servicio.",Tepoztlan,Morelos,Restaurant,1
No hay recomendaciones,"Las condiciones de reserva no son claras, hemos sido facturados un suplemento de $ 2.000 por los daños que la habitación podría sufrir, el restaurante tarda mucho tiempo en reparar, que no se recomienda.",Loreto,Baja_CaliforniaSur,Hotel,1
Ordinario ordinario,"No me gusta el servicio ni la comida, el ambiente muy saturado por los empleados.",Creel,Chihuahua,Restaurant,1
Un robot es un robot.,"Usted baja del coche y le dicen que primero tienen que pasar a un módulo y le venden un paquete que, porque es el pase completo, y al salir de la zona, usted tiene que caminar 3 km para llegar, TOURS DORADOS nunca creen en lo que ofrecen, después de caminar y llegar, resulta que el barco era un barco en mal estado, los guías no hablaban inglés y no conocían la historia de los lugares, muy mal! Terrible!",Tulum,QuintanaRoo,Attractive,1
No hay vuelta atrás en este hotel.,"Todas las puertas del hotel en la playa están cerradas con llave, sólo se puede salir por la recepción. Pro: Localización Contras: no hay wifi en ningún lugar. Ofrecen un desayuno continental a tres cuadras del hotel donde la atención es muy mala y sirve sólo dos pedazos de pan y un café. (Si tienes suerte, encontrarás crema para café). Es uno de estos lugares donde son preferidos por la clientela extranjera. El aire acondicionado es ruidoso y viejo.",Isla_Mujeres,QuintanaRoo,Hotel,1
Lento es un poco lento.,"El servicio LENTO! desesperadamente lento, que tomará tanto tiempo para servirle, si usted ha terminado el arroz para los platos, pregunte el tamaño de las porciones para una red de pescado florecido y yo...Más",Cuatro_Cienegas,Coahuila,Restaurant,1
Es cierto que es un poco así.,"La publicidad decía que tenían un líder tailandés, el Pad Thai es una masa de pan, el propietario era agresivo y desagradable.",TodosSantos,Baja_CaliforniaSur,Restaurant,1
Más fama que sabor.,"No hay mejor lugar en Puebla, las mesas se parecen a las escuelas primarias rurales, no se dejan llevar por la moda, no es asunto de otro mundo.",Cholula,Puebla,Restaurant,1
Demasiado caro para lo que es.,"El 18 al 20 de marzo, me alojé en una de las suites porque asistí a una boda que tuvo lugar allí. El lugar es sin duda hermoso, pero no recomiendo quedarme allí para dormir, porque la gente de la administración está muy desorganizada y cero agradables. Tampoco recomiendo organizar un evento allí porque prometen el cielo y en la misma hora que usted es pagado por todo y no son responsables de nada, han cambiado de dirección mil veces y se han puesto en un plan muy pesado.",Huasca_de_Ocampo,Hidalgo,Hotel,1
No es la elección ni por error.,"Estábamos en Tulum 2 personas más y yo. La idea era hacer un descanso tranquilo, descansar, contemplar el mar y pasar un buen rato y relajarnos. Hicimos todo lo contrario. Llegamos a la playa de Papaya, muy sucio y costoso, buscábamos otra opción y nos quedamos en los Lirios (suficientemente aceptable) pero por razones de mantenimiento tuvimos que ir a Amansala. Cambiaron el precio al final de las cuentas y según el descuento era siempre caro. La propietaria nos percibía los ""impuestos"" como nos dice la gana y al fi.",Tulum,QuintanaRoo,Hotel,1
"¡Un lugar ideal y personal, un mal hotel!","Oswaldo y su equipo no podrían ser mejores representantes de la industria hotelera - agradables, amables y atentos a los detalles. Desafortunadamente, proporcionan estos servicios en un hotel que no está a la altura que he esperado cuando veo cuatro estrellas Travelocity. El La Joya se encuentra en el extremo sur de la isla de las mujeres, que requiere un golf para alquilar, un montón de taxis detrás y adelante o un plan para comer en el comedor del hotel.",Isla_Mujeres,QuintanaRoo,Hotel,1
¡Un restaurante sucio!,"Después de cenar en el tango restaurante de Ajijic, volvimos a casa enfermos!!! Nos pasamos la noche vomitando. Mi hijo comió pescado con patatas y sufrí más"", comí espinacas con salsa de queso y me encerré. Un chef me aconsejó en uno de los...restaurantes aquí en Guadalajara y me dijo que era probablemente el lugar más sucio.",Ajijic,Jalisco,Restaurant,1
Tulum está en ruinas.,"1 de 5 Si Tulum ya ha sido un paraíso, se ha convertido en un infierno tropical. El primer problema ha sido el viaje en taxi desde la estación de autobuses al hotel. La pequeña carretera costera es apenas lo suficientemente grande para un caballo y un coche, pero tiene que hacer frente a los niveles de tráfico de Nueva York que rugen frente a su hotel día y noche. Los hoteles comerciales son extremadamente caros y bastante degradados / mal mantenidos. La comida es peor. $20 para un desayuno muy mediocre.",Tulum,QuintanaRoo,Attractive,1
El hotel más alejado del tequisquiapan,"El peor hotel, Super lejos del tequisquiapan, más de 25 km después del tequisquiapan, es media hora más al conducir por una carretera federal en buen estado pero peligrosa. No hay firmas y es difícil encontrar el hotel sobre todo por la noche. No hay wifi ni red telefónica, completamente incommunicado, no hay televisión en las habitaciones y el teléfono no funciona, no hay ponén ni una botella de agua. Las habitaciones se parecen a una película de terror donde sale la capuchina o el santo. La comida no es buena y si usted tiene un teléfono funciona.",Tequisquiapan,Queretaro,Hotel,1
Las instalaciones más malas.,"Instalaciones difíciles, una habitación con un olor muy desagradable a humedad, una alfombra demasiado sucia, no lo recomiendo, necesito mejorar las instalaciones puesto que ya había permanecido en el mismo hotel, pero las instalaciones no están desordenadas.",Tlaquepaque,Jalisco,Hotel,1
Una mala experiencia.,"Una persona que pertenecía a los balnearios cuando fui a la taquilla para comprar mis boletos me dijo que no me vendería nada porque otra de mi familia ya había comprado boletos a precio reducido, éramos diez que iban después de perseguirme con la policía me arrestaron.",Ixtapan_de_la_Sal,Estado_de_Mexico,Attractive,1
"Por favor, lea esto antes de reservar!!!!!!!!!","PESIMO, no hay otra palabra para describirlo, el hotel es SUCIO en todas sus instalaciones, ¡ah!, pero reservamos en el nuevo edificio, seguramente nos salvamos, sí o no, las placas: usted debe poner una toalla en el baño porque el cocinero que diseña el hotel escapa al detalle que el cuarto de baño es de uso privado y por lo tanto el que está acostado en la cama TE BAINER O HACER TODOS LAS NESITIAS, por lo que la improvisación de suspender la toalla en la ventana que divide su dormitorio y el baño, la limpia.",Isla_Mujeres,QuintanaRoo,Hotel,1
La comida es muy buena.,"Pedí una sopa y un mixiota y tuve que devolverlos a ambos, la primera en ensalada y la segunda en carne muy dura.",Cholula,Puebla,Restaurant,1
El hotel de cinco.,"No se quedaron en este cubo de basura, las reservas no respetan, han tenido a mi madre mayor en silla de ruedas esperando durante horas, un hotel viejo y sucio, un personal ineficaz y arrogante.",Ixtapan_de_la_Sal,Estado_de_Mexico,Hotel,1
"Viejo, parece un balneario.","Pasé unas semanas en el hotel por un precio de $2.000 por noche, las habitaciones antiguas y descuidadas.La piscina parecía un spa y con pastos sintéticos alrededor del sabor terrible, no vale la pena por el precio, creo que el único bueno es la vista.",Taxco,Guerrero,Hotel,1
La desgracia es una enfermedad.,"Ayer, domingo 26 de junio, asistimos a la gran mayoría de mi familia en este lugar (15 personas) el servicio deja mucho que desear, ya que el famoso guacamole nos sirvió cuando terminamos los platos.",Tequila,Jalisco,Restaurant,1
Si estás mejor en la foto,"Me dijeron que si podía pagar con tarjeta, entonces no tenía aparcamiento, que el aire frío y el suelo estaba mojado, que no había papel higiénico, que si la piscina la trataba para tener una buena higiene, que la ropa de cama era toda la ropa de habitación, muy mala... que Internet era lento, que las toallas estaban vacías... tenía que quitarla, era muy mala y no lo recomiendo.",Valladolid,Yucatan,Hotel,1
Nada bueno para las estrellas que tiene.,Primer lugar en la lista de TripAdvisor y muy malo. Una comida sin sabor tomó 30 minutos para preparar la comida. El servicio no fue atento.,Valladolid,Yucatan,Restaurant,1
Un servicio horrible.,"¡Ay! Acabo de volver de la playa, mi cabeza gira! Es sin duda el peor servicio que he conocido. Estuvimos en la playa con un bar y un restaurante de servicio completo. La comida era buena, pero por el precio, simplemente no excepcional. Nuestro camarero entró... por primera vez en seis horas para ver si necesitábamos algo.",Sayulita,Nayarit,Restaurant,1
